TeamId;TrikotNr;Name;Geburtsdatum;Minuten;Tore;Gelbe;GelbRot;Rote
87;39;Aaron Philipp Herzog;30.01.1998;0;0;0;0;0
91;34;Leon Bätge;09.07.1997;0;0;0;0;0
91;27;Marius Wolf;27.05.1995;1773;4;4;0;0
91;6;Jonathan de Guzman;13.09.1987;649;0;1;0;0
91;24;Danny Vieira da Costa;13.07.1993;479;1;0;0;0
91;19;David Ángel Abraham;16.07.1986;1718;0;3;0;0
91;22;Timothy Chandler;29.03.1990;1701;2;3;0;0
91;33;Taleb Tawatha;21.06.1992;388;0;1;0;0
91;4;Ante Rebic;21.09.1993;1608;5;8;0;0
91;31;Branimir Hrgota;12.01.1993;130;0;1;0;0
91;39;Omar Mascarell González;02.02.1993;450;0;2;0;0
91;7;Danny Blum;07.01.1991;27;1;0;0;0
91;2;Yanni Regäsel;13.01.1996;0;0;0;0;0
91;10;Marco Jhonfai Fabián De la Mora;21.07.1989;68;0;0;0;0
91;11;Mijat Gacinovic;08.02.1995;1555;1;4;0;0
91;1;Lukáš Hrádecký;24.11.1989;2340;0;1;0;0
91;23;Marco Russ;04.08.1985;727;1;3;0;0
91;20;Makoto Hasebe;18.01.1984;1650;0;2;0;0
91;21;Marc Stendera;10.12.1995;375;0;1;0;0
91;14;Alexander Meier;17.01.1983;0;0;0;0;0
91;5;Gélson da Conceição Tavares Fernandes;02.09.1986;801;0;4;0;0
91;8;Luka Jovic;23.12.1997;477;5;2;0;0
91;13;Carlos Joel Salcedo Hernández;29.09.1993;1427;0;3;0;0
91;35;Noel Knothe;05.05.1999;0;0;0;0;0
91;15;Jetro Danovich Sexer Willems;30.03.1994;1134;0;3;0;0
91;38;Renat Dadashov;17.05.1999;0;0;0;0;0
91;37;Jan Zimmermann;19.04.1985;0;0;0;0;0
91;9;Sébastien Haller;22.06.1994;2023;8;2;0;0
91;40;Daichi Kamada;05.08.1996;145;0;0;0;0
91;28;Aymane Barkok;21.05.1998;250;0;1;0;0
91;;Juan Miguel Blanco-Lopez;26.04.1999;0;0;0;0;0
91;26;Deji-Ousman Beyreuther;06.09.1999;0;0;0;0;0
91;3;Simon Falette;19.02.1992;1902;1;9;0;1
91;30;Sahverdi Cetin;28.09.2000;0;0;0;0;0
91;32;Nelson Mandela Nelson Mandela;04.05.1999;0;0;0;0;0
91;36;Marius Herzig;17.12.1999;0;0;0;0;0
91;17;Kevin-Prince Boateng;06.03.1987;1892;5;5;0;0
91;41;Tobias Stirl;17.04.2000;0;0;0;0;0
91;42;Marijan Cavar;02.02.1998;0;0;0;0;0
95;23;Marco Richter;24.11.1997;109;1;0;0;0
95;12;Zdenko Miletic;23.04.1968;0;0;0;0;0
95;1;Andreas Luthe;10.03.1987;0;0;0;0;0
95;34;Maximilian Reinthaler;22.03.1995;0;0;0;0;0
95;30;Caiuby Francisco da Silva;14.07.1988;2139;5;5;0;0
95;27;Alfreð Finnbogason;01.02.1989;1479;11;0;0;0
95;6;Jeffrey Gouweleeuw;10.07.1991;1755;0;3;0;0
95;14;Jan Morávek;01.11.1989;335;0;3;0;0
95;24;Ioannis Gelios;24.04.1992;0;0;0;0;0
95;19;Ja-Cheol Koo;27.02.1989;1628;2;1;0;0
95;4;Daniel Tawiah Opare;18.10.1990;1418;0;6;0;0
95;31;Philipp Max;30.09.1993;2330;1;2;0;0
95;16;Christoph Janker;14.02.1985;17;0;0;0;0
95;35;Marwin Hitz;18.09.1987;2340;0;2;0;0
95;32;Raphael Framberger;06.09.1995;697;0;3;0;0
95;10;Daniel Baier;18.05.1984;2156;0;5;0;0
95;9;Shawn Parker;07.03.1993;44;0;1;0;0
95;20;Gojko Kacar;26.01.1987;182;1;0;0;0
95;36;Martin Hinteregger;07.09.1992;1935;0;2;0;0
95;38;Kevin Danso;19.09.1998;1017;2;2;0;0
